run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,fault_detection_latency_ms,cloud_response_latency_ms,recovery_latency_ms,cloud_invocation_count,supervisory_decision_count,replan_count,retry_count,uploaded_bytes,downloaded_bytes,mode_switch_count,deferred_switch_count,aborted_transition_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-dcdc199a146ca153,smoke-s05_target_lost-auto-normal-0,S05_TARGET_LOST,AUTO,0,NORMAL,False,NEEDS_OBSERVATION,1100,,,500,0,0,0,0,0,0,1,1,0,0,1,0,0,997a57fac27da900af5a648e79a91b9946f3160102b88031c6674e9781100323,e8d29ec16a1329d3bb47f0b7c4176d7c911c789e17767b6aaa376677d1fbd556
run-fc7d2183f4228b27,smoke-s06_perception_degraded-pcsc-normal-0,S06_PERCEPTION_DEGRADED,PCSC,0,NORMAL,False,NEEDS_OBSERVATION,1251,1,,500,3,3,0,0,0,633,0,0,0,0,1,0,0,91074b5b1e9cd80b70d692d6813dafecaf31db0b0929301b61590641ce980492,e199561679f7e96833ea8ece444f5b4c5dcbd03e259937be7a4727db91916f08
run-08605c8b0acd884e,smoke-s06_perception_degraded-eteac-normal-0,S06_PERCEPTION_DEGRADED,ETEAC,0,NORMAL,False,NEEDS_OBSERVATION,1100,,,500,0,0,0,0,0,0,0,0,0,0,1,0,0,971c9d02ee9f999e6854c03198e7107b8bed6e3909a5275672181606df63799f,20f667ba13a9d4f8a5ff0e88c41c8c1387f1b32c6c5e4bb04f6bc41f617269ba
run-3c58c1caba40a0d2,smoke-s06_perception_degraded-auto-normal-0,S06_PERCEPTION_DEGRADED,AUTO,0,NORMAL,False,NEEDS_OBSERVATION,1100,,,500,0,0,0,0,0,0,1,1,0,0,1,0,0,7bde55b565e881649c536b78c2f673190ab8fe2031796a1d2b4bb0836dd64cfa,b2a5ebe73c02e811f0896080d51de17476791eef15882d7aa308c704fbaa04bd
run-7ed8622008fce49d,smoke-s07_network_degraded-pcsc-normal-0,S07_NETWORK_DEGRADED,PCSC,0,NORMAL,True,SUCCESS,1251,,,600,3,3,0,0,0,603,0,0,0,0,1,0,0,c6580613c56313af119f344f31faee4eb6ef0541d828713780cedc0f74b66bc8,6e52acc4f10a81ac91bd080b1c343db031598332302844692dfd613468d11d69
run-9a2265e9cd868695,smoke-s07_network_degraded-eteac-normal-0,S07_NETWORK_DEGRADED,ETEAC,0,NORMAL,True,SUCCESS,1100,,,600,0,0,0,0,0,0,0,0,0,0,1,0,0,eee8d7ad93b69f1aebeef8a9d819104cc0f102f379d79748bb7612e237bd7974,189b0ca4b449130a04d181b244108c3330e25188b683c1a668c7a2e03f98c5ef
run-4415769bfaa1a900,smoke-s07_network_degraded-auto-normal-0,S07_NETWORK_DEGRADED,AUTO,0,NORMAL,True,SUCCESS,1100,,,600,0,0,0,0,0,0,1,1,0,0,1,0,0,9fdfdf45ec234610131c803a7d7432be6f4124527860855735674d3ae2b6ab17,09fa9a0a5b5f86b90f31e94b9c450ee68ec0f154f5e4372a13ed28655c3e3b39
run-9fd348e5a28fdf78,smoke-s08_network_outage-pcsc-normal-0,S08_NETWORK_OUTAGE,PCSC,0,NORMAL,True,SUCCESS,3300,101,,1077,3,3,0,0,96,402,0,0,0,0,1,0,0,3649a177ab6b80c603036c4439a58b160590ddec2fde4c991525b86cdd9874d7,d079afd054b965747ba75a3289369bde1e152cd3fb28a464c1a60ab0a29bd4c6
run-27efda9702b418a6,smoke-s08_network_outage-eteac-normal-0,S08_NETWORK_OUTAGE,ETEAC,0,NORMAL,True,SUCCESS,3300,1103,,1103,0,0,0,0,96,0,0,0,0,0,1,0,0,5262c47cf2400651890bfda3cf62398794563073e56f0a9956f2d2a95541354d,6e026433a6628fd0b722db3a8f6409942bf522a6f9e9303ed99e8eb222294bb4
run-26668de795982b7a,smoke-s08_network_outage-auto-normal-0,S08_NETWORK_OUTAGE,AUTO,0,NORMAL,True,SUCCESS,3300,1103,,1103,0,0,0,0,96,0,1,1,0,0,1,0,0,a008bfc8463c7c53bb78d3e8d6ce4cbf9008329f0cd0803536253d8e39f3caf5,5020a6ab36d9882dbbf7e858b21e86e22a8f339197bd7e2a6cd3970f8473c3be
