run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,cloud_invocation_count,uploaded_bytes,downloaded_bytes,mode_switch_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-220e29fe8bb89630,full-s01_normal_static-pcsc-poor-9,S01_NORMAL_STATIC,PCSC,9,POOR,True,SUCCESS,1100,0,0,201,0,0,1,0,0,ab935ed1e493174ab036ceacd9fbfa3dbef0a62248aeca962b83f3dafd17d94a,f707d52a68735946ee3db70105e434efc9c444af6c80586238febee4f94ce0ee
run-be05be1d165c1347,full-s01_normal_static-pcsc-severe-0,S01_NORMAL_STATIC,PCSC,0,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,527a47e1b8eda70882ffee272beb4a27ebb42e72315bff5f1be069121e8170da,94b5193663dda7c22bfb8e980d1599e7b9f4b3dd9dc819d8e79195965d58438e
run-0fcc379f3909473a,full-s01_normal_static-pcsc-severe-1,S01_NORMAL_STATIC,PCSC,1,SEVERE,True,SUCCESS,1100,0,0,0,0,0,1,0,0,35c504ca2216e5cb102ce58ceb296e46a3a4c5f8edc43523fca18ed3d59671e4,a52bebbe0bb2955bbd4e03a06b4db6ccc5c0ecfe98fd6b20aa2f913b92cead20
run-269d8307e8fdb9fa,full-s01_normal_static-pcsc-severe-2,S01_NORMAL_STATIC,PCSC,2,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,0b896326c78f73159ec8ddbb269cfbeeeec70b52c50ea352e0d2946a40471e7c,930908f8876230aee83ba5bbc00dbdc78ba9f3f8fca2519d15062c4290891da0
run-cd3f9d5a1a2d5b61,full-s01_normal_static-pcsc-severe-3,S01_NORMAL_STATIC,PCSC,3,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,6abd74594e646e64601d45e4e20e32957e7ad7f05f4c41daebf222c306248dbb,e71cc5f79bd9e404bf4b67cb28904918269afba2e14679f5d20c42662e1ff02d
run-19cf711055cec4e2,full-s01_normal_static-pcsc-severe-4,S01_NORMAL_STATIC,PCSC,4,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,bb81eb608885972ed9588e087e53923bd4d4acc3e7c16c7b9811c56a2060fc83,a348f46770b6725e7cf94634e3a75f11fa89335f9581dc9747d38782d2e93a6f
run-fe40f6ee203c3b9b,full-s01_normal_static-pcsc-severe-5,S01_NORMAL_STATIC,PCSC,5,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,12c17bfc72baa1fe911b7e45d97a6cb36783a4d51478cb5ea5c9977b7511c39d,0d8987402960b7aa1786a41c338e38832c8e662bd570281334f94db419540819
run-6ca6924698910026,full-s01_normal_static-pcsc-severe-6,S01_NORMAL_STATIC,PCSC,6,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,27449f5766fddd26f498cf6ee28d80477b455ca71be6148c4968390aa24f6336,b8e5700a686db64a8b9adef2b4b9baa103df97d7f95cce0b76ee0a4fb8d011c3
run-ad3b55726087f364,full-s01_normal_static-pcsc-severe-7,S01_NORMAL_STATIC,PCSC,7,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,ec4fd842831c788cb7a2af46addbf05ba1f8ba235159e71fefce13d18dcb07d2,5b3c877fcf30c1c63737c8aa5f2bc860ea823ae04eaf42f2299682e580ba103d
run-e6310c8428e01a48,full-s01_normal_static-pcsc-severe-8,S01_NORMAL_STATIC,PCSC,8,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,448e2ba18ba40391df0103384d75c92aca51d91505307297e7a31fa36e3f496f,5d1a4ab4086607056ec447bd7ef78cfdcfabf6a3eb3dda646b9a6bcf941ce81c
